Tier,Date (type approval),Date (first registration),CO,THC,NMHC,NOx,HC+NOx,PM,PN [#/km]
Diesel
Euro 1,October 1993,October 1994,5.17,–,–,–,1.4,0.19,–
Euro 2,January 1998,October 1998,1.25,–,–,–,1.0,0.12,–
Euro 3,January 2001,January 2002,0.80,–,–,0.65,0.72,0.07,–
Euro 4,January 2006,January 2007,0.63,–,–,0.33,0.39,0.04,–
Euro 5a,September 2010,January 2012,0.630,–,–,0.235,0.295,0.005,–
Euro 5b,September 2011,January 2013,0.630,–,–,0.235,0.295,0.0045,6×1011
Euro 6b,September 2015,September 2016,0.630,–,–,0.105,0.195,0.0045,6×1011
Euro 6c,–,September 2019,0.630,–,–,0.105,0.195,0.0045,6×1011
Euro 6d-Temp,September 2018,September 2020,0.630,–,–,0.105,0.195,0.0045,6×1011
Euro 6d,January 2021,January 2022,0.630,–,–,0.105,0.195,0.0045,6×1011
Petrol
Euro 1,October 1993,October 1994,5.17,–,–,–,1.4,–,–
Euro 2,January 1998,October 1998,4.0,–,–,–,0.6,–,–
Euro 3,January 2001,January 2002,4.17,0.25,–,0.18,–,–,–
Euro 4,January 2006,January 2007,1.81,0.130,–,0.10,–,–,–
Euro 5a,September 2010,January 2012,1.810,0.130,0.090,0.075,–,0.005[a],–
Euro 5b,September 2011,January 2013,1.810,0.130,0.090,0.075,–,0.0045[a],–
Euro 6b,September 2015,September 2016,1.810,0.130,0.090,0.075,–,0.0045[a],6×1011
Euro 6c,–,September 2019,1.810,0.130,0.090,0.075,–,0.0045[a],6×1011
Euro 6d-Temp,September 2018,September 2020,1.810,0.130,0.090,0.075,–,0.0045[a],6×1011
Euro 6d,January 2021,January 2022,1.810,0.130,0.090,0.075,–,0.0045[a],6×1011
