"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"0","5133","0","0","0","0","0","0","5133","4820","0","0","0","0","0","0","4820","9953"
"1","5054","0","0","0","0","0","0","5054","4763","0","0","0","0","0","0","4763","9817"
"2","5222","0","0","0","0","0","0","5222","4908","0","0","0","0","0","0","4908","10130"
"3","5437","0","0","0","0","0","0","5437","5200","0","0","0","0","0","0","5200","10637"
"4","5558","0","0","0","0","0","0","5558","5288","0","0","0","0","0","0","5288","10846"
"5","5765","0","0","0","0","0","0","5765","5392","0","0","0","0","0","0","5392","11157"
"6","5807","0","0","0","0","0","0","5807","5359","0","0","0","0","0","0","5359","11166"
"7","5840","0","0","0","0","0","0","5840","5594","0","0","0","0","0","0","5594","11434"
"8","5910","0","0","0","0","0","0","5910","5478","0","0","0","0","0","0","5478","11388"
"9","6090","0","0","0","0","0","0","6090","5547","0","0","0","0","0","0","5547","11637"
"10","5966","0","0","0","0","0","0","5966","5652","0","0","0","0","0","0","5652","11618"
"11","6204","0","0","0","0","0","0","6204","5676","0","0","0","0","0","0","5676","11880"
"12","6207","0","0","0","0","0","0","6207","5960","0","0","0","0","0","0","5960","12167"
"13","6358","0","0","0","0","0","0","6358","5935","0","0","0","0","0","0","5935","12293"
"14","6293","0","0","0","0","0","0","6293","5863","0","0","0","0","0","0","5863","12156"
"15","6335","0","0","0","0","0","0","6335","5891","0","0","0","0","0","0","5891","12226"
"16","6073","0","0","0","0","0","0","6073","5587","1","0","0","0","0","0","5588","11661"
"17","6182","0","0","0","0","0","0","6182","5807","0","0","0","0","0","0","5807","11989"
"18","6169","0","0","0","0","0","0","6169","5523","1","0","0","0","0","0","5524","11693"
"19","6262","0","0","0","0","0","0","6262","5462","3","0","0","0","0","0","5465","11727"
"20","6195","1","0","0","1","0","0","6197","5603","17","0","0","0","0","0","5620","11817"
"21","6679","3","0","0","0","0","0","6682","5722","63","1","0","1","0","0","5787","12469"
"22","6901","15","2","0","1","0","0","6919","5513","91","0","1","0","0","0","5605","12524"
"23","7125","28","0","0","0","0","0","7153","5745","158","1","0","0","0","0","5904","13057"
"24","6924","48","1","0","2","0","0","6975","5825","215","3","0","1","0","0","6044","13019"
"25","7072","101","1","0","8","1","0","7183","6066","343","10","0","0","0","0","6419","13602"
"26","7201","159","3","0","8","0","0","7371","6281","483","7","2","3","0","0","6776","14147"
"27","7510","237","3","0","7","0","0","7757","6755","690","10","4","3","0","0","7462","15219"
"28","7710","389","5","0","10","0","0","8114","6983","872","14","2","4","0","0","7875","15989"
"29","8043","582","8","1","15","1","0","8650","7033","1222","33","4","3","0","0","8295","16945"
"30","7895","822","12","1","17","0","0","8747","7002","1601","37","7","3","0","0","8650","17397"
"31","8093","1128","20","1","29","1","0","9272","6787","2066","41","2","7","0","0","8903","18175"
