stazione_id;data;inquinante;valore
"2";2023-10-12;C6H6;1.7
"2";2023-10-12;NO2;65
"2";2023-10-12;O3;112
"2";2023-10-12;PM10;64
"2";2023-10-12;PM25;30
"2";2023-10-12;SO2;6
"3";2023-10-12;CO_8h;
"3";2023-10-12;NO2;128
"4";2023-10-12;C6H6;1.9
"4";2023-10-12;CO_8h;1.6
"4";2023-10-12;NO2;112
"4";2023-10-12;PM10;68
"4";2023-10-12;PM25;35
"6";2023-10-12;C6H6;0.5
"6";2023-10-12;CO_8h;1
"6";2023-10-12;NO2;
"6";2023-10-12;PM10;63
"6";2023-10-12;PM25;32
"7";2023-10-12;NO2;65
"7";2023-10-12;O3;120
"7";2023-10-12;PM10;52
"2";2023-10-11;C6H6;1.1
"2";2023-10-11;NO2;68
"2";2023-10-11;O3;90
"2";2023-10-11;PM10;39
"2";2023-10-11;PM25;15
"2";2023-10-11;SO2;8
"3";2023-10-11;CO_8h;
"3";2023-10-11;NO2;117
"4";2023-10-11;C6H6;1.6
"4";2023-10-11;CO_8h;1.5
"4";2023-10-11;NO2;129
"4";2023-10-11;PM10;44
"4";2023-10-11;PM25;13
"6";2023-10-11;C6H6;
"6";2023-10-11;CO_8h;0.9
"6";2023-10-11;NO2;15
"6";2023-10-11;PM10;46
"6";2023-10-11;PM25;19
"7";2023-10-11;NO2;55
"7";2023-10-11;O3;90
"7";2023-10-11;PM10;31
"2";2023-10-10;C6H6;1.6
"2";2023-10-10;NO2;58
"2";2023-10-10;O3;73
"2";2023-10-10;PM10;42
"2";2023-10-10;PM25;14
"2";2023-10-10;SO2;7
"3";2023-10-10;CO_8h;
"3";2023-10-10;NO2;96
"4";2023-10-10;C6H6;1.5
"4";2023-10-10;CO_8h;1.4
"4";2023-10-10;NO2;86
"4";2023-10-10;PM10;45
"4";2023-10-10;PM25;13
"6";2023-10-10;C6H6;
"6";2023-10-10;CO_8h;1.2
"6";2023-10-10;NO2;57
"6";2023-10-10;PM10;42
"6";2023-10-10;PM25;14
"7";2023-10-10;NO2;44
"7";2023-10-10;O3;71
"7";2023-10-10;PM10;29
"2";2023-10-09;C6H6;2.1
"2";2023-10-09;NO2;63
"2";2023-10-09;O3;82
"2";2023-10-09;PM10;37
"2";2023-10-09;PM25;15
"2";2023-10-09;SO2;5
"3";2023-10-09;CO_8h;
"3";2023-10-09;NO2;88
"4";2023-10-09;C6H6;1.8
"4";2023-10-09;CO_8h;1.7
"4";2023-10-09;NO2;74
"4";2023-10-09;PM10;43
"4";2023-10-09;PM25;19
"6";2023-10-09;C6H6;
"6";2023-10-09;CO_8h;1.1
"6";2023-10-09;NO2;69
"6";2023-10-09;PM10;40
"6";2023-10-09;PM25;21
"7";2023-10-09;NO2;57
"7";2023-10-09;O3;73
"7";2023-10-09;PM10;27
"2";2023-10-06;C6H6;1.3
"2";2023-10-06;NO2;56
"2";2023-10-06;O3;90
"2";2023-10-06;PM10;30
"2";2023-10-06;PM25;16
"2";2023-10-06;SO2;2.5
"3";2023-10-06;CO_8h;
"3";2023-10-06;NO2;74
"4";2023-10-06;C6H6;1.4
"4";2023-10-06;CO_8h;1.3
"4";2023-10-06;NO2;86
"4";2023-10-06;PM10;36
"4";2023-10-06;PM25;16
"6";2023-10-06;C6H6;
"6";2023-10-06;CO_8h;0.8
"6";2023-10-06;NO2;50
"6";2023-10-06;PM10;28
"6";2023-10-06;PM25;17
"7";2023-10-06;NO2;49
"7";2023-10-06;O3;86
"7";2023-10-06;PM10;25
"2";2023-10-05;C6H6;0.5
"2";2023-10-05;NO2;35
"2";2023-10-05;O3;113
"2";2023-10-05;PM10;35
"2";2023-10-05;PM25;19
"2";2023-10-05;SO2;2.5
"3";2023-10-05;CO_8h;
"3";2023-10-05;NO2;86
"4";2023-10-05;C6H6;1.3
"4";2023-10-05;CO_8h;1.1
"4";2023-10-05;NO2;67
"4";2023-10-05;PM10;43
"4";2023-10-05;PM25;26
"6";2023-10-05;C6H6;0.5
"6";2023-10-05;CO_8h;
"6";2023-10-05;NO2;40
"6";2023-10-05;PM10;39
"6";2023-10-05;PM25;23
"7";2023-10-05;NO2;40
"7";2023-10-05;O3;120
"7";2023-10-05;PM10;31
"2";2023-10-04;C6H6;1.5
"2";2023-10-04;NO2;54
"2";2023-10-04;O3;133
"2";2023-10-04;PM10;51
"2";2023-10-04;PM25;30
"2";2023-10-04;SO2;5
"3";2023-10-04;CO_8h;
"3";2023-10-04;NO2;95
"4";2023-10-04;C6H6;1.5
"4";2023-10-04;CO_8h;1.8
"4";2023-10-04;NO2;78
"4";2023-10-04;PM10;63
"4";2023-10-04;PM25;41
"6";2023-10-04;C6H6;0.5
"6";2023-10-04;CO_8h;1.1
"6";2023-10-04;NO2;62
"6";2023-10-04;PM10;55
"6";2023-10-04;PM25;38
"7";2023-10-04;NO2;67
"7";2023-10-04;O3;130
"7";2023-10-04;PM10;49
"2";2023-10-03;C6H6;1.9
"2";2023-10-03;NO2;93
"2";2023-10-03;O3;138
"2";2023-10-03;PM10;53
"2";2023-10-03;PM25;31
"2";2023-10-03;SO2;2.5
"3";2023-10-03;CO_8h;1.3
"3";2023-10-03;NO2;137
"4";2023-10-03;C6H6;2.1
"4";2023-10-03;CO_8h;1.7
"4";2023-10-03;NO2;135
"4";2023-10-03;PM10;64
"4";2023-10-03;PM25;39
"6";2023-10-03;C6H6;1
"6";2023-10-03;CO_8h;1.1
"6";2023-10-03;NO2;86
"6";2023-10-03;PM10;60
"6";2023-10-03;PM25;39
"7";2023-10-03;NO2;97
"7";2023-10-03;O3;157
"7";2023-10-03;PM10;49
"2";2023-10-02;C6H6;1.4
"2";2023-10-02;NO2;58
