stazione_id;data;inquinante;valore
"2";2014-01-01;SO2;2.5
"2";2014-01-02;SO2;2.5
"1";2014-01-03;NO2;92
"2";2014-01-03;C6H6;1.5
"2";2014-01-03;NO2;63
"2";2014-01-03;O3;15
"2";2014-01-03;PM10;42
"2";2014-01-03;PM25;39
"2";2014-01-03;SO2;2.5
"3";2014-01-03;CO_8h;2.7
"3";2014-01-03;NO2;118
"4";2014-01-03;C6H6;3
"4";2014-01-03;CO_8h;1.8
"4";2014-01-03;NO2;64
"5";2014-01-03;NO2;72
"5";2014-01-03;O3;14
"6";2014-01-03;C6H6;3
"6";2014-01-03;CO_8h;1.8
"6";2014-01-03;NO2;82
"6";2014-01-03;PM10;46
"6";2014-01-03;PM25;39
"7";2014-01-03;NO2;82
"7";2014-01-03;O3;10
"7";2014-01-03;PM10;35
"8";2014-01-03;C6H6;1.5
"8";2014-01-03;CO_8h;2.8
"8";2014-01-03;NO2;108
"1";2014-01-04;NO2;65
"2";2014-01-04;C6H6;1.5
"2";2014-01-04;NO2;53
"2";2014-01-04;O3;7
"2";2014-01-04;PM10;48
"2";2014-01-04;PM25;45
"2";2014-01-04;SO2;2.5
"3";2014-01-04;CO_8h;2
"3";2014-01-04;NO2;75
"4";2014-01-04;C6H6;3
"4";2014-01-04;CO_8h;1.3
"4";2014-01-04;NO2;53
"5";2014-01-04;NO2;63
"5";2014-01-04;O3;12
"6";2014-01-04;C6H6;3
"6";2014-01-04;CO_8h;1.6
"6";2014-01-04;NO2;65
"6";2014-01-04;PM10;50
"6";2014-01-04;PM25;45
"7";2014-01-04;NO2;66
"7";2014-01-04;O3;7
"7";2014-01-04;PM10;28
"8";2014-01-04;C6H6;1.5
"8";2014-01-04;CO_8h;1.8
"8";2014-01-04;NO2;64
"1";2014-01-05;NO2;63
"2";2014-01-05;C6H6;1.5
"2";2014-01-05;NO2;47
"2";2014-01-05;O3;5
"2";2014-01-05;PM10;33
"2";2014-01-05;PM25;34
"2";2014-01-05;SO2;2.5
"3";2014-01-05;CO_8h;2.3
"3";2014-01-05;NO2;108
