ANNO;TIPO VEICOLO;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 6;Non contemplato;Non identificato
2022;Autovetture;74009;13964;31054;40915;130382;110872;277890;5088;439
2022;Veicoli industriali;9303;3293;5386;7945;9936;12735;26911;310;62
2022;Motrici;283;30;151;422;92;902;2048;;5
2022;Autobus;137;11;144;491;263;1234;1788;179;1
2022;Motocicli;38054;17283;17473;63140;29525;15938;5889;247;
2021;Autovetture;74268;14397;34416;44656;139146;120548;247138;3830;440
2021;Veicoli industriali;9429;3362;5613;8572;10833;14701;22195;223;62
2021;Motrici;291;30;158;475;104;1044;1672;;5
2021;Autobus;138;9;221;643;277;1300;1480;181;1
2021;Motocicli;38886;18072;18638;65217;31179;6229;;4952;188
2020;Autovetture;74753;15143;38445;50418;152415;129162;225300;2145;442
2020;Veicoli industriali;9523;3454;5930;9268;11908;15296;18523;201;62
2020;Motrici;284;31;173;522;111;1120;1204;;5
2020;Autobus;139;7;108;640;110;872;1048;40;1
2020;Motocicli;39191;19070;19719;67918;30261;;;2318;181
2019;Autovetture;75385;15983;42529;56164;165063;135608;198684;1050;448
2019;Veicoli industriali;9661;3587;6319;9971;13024;15737;15189;191;62
2019;Motrici;287;30;190;579;117;1135;1042;;5
2019;Autobus;143;8;127;745;108;881;962;39;1
2019;Motocicli;39550;20171;20875;70790;23658;;;420;183
2018;Autovetture;75736;16450;47013;66027;183835;143157;159787;635;444
2018;Veicoli industriali;9854;3717;6896;11510;14730;16284;11113;182;62
2018;Motrici;299;34;206;629;126;1069;829;;5
2018;Autobus;142;4;215;867;115;895;764;23;1
2018;Motocicli;39454;20727;21434;71761;15698;;;228;188
2017;Autovetture;76134;17247;52525;75783;199074;152077;126813;626;444
2017;Veicoli industriali;9987;3808;7328;12945;16029;16853;7161;150;62
2017;Motrici;302;37;210;629;107;1035;547;;5
2017;Autobus;142;9;325;924;116;803;300;10;1
2017;Motocicli;39631;21504;22362;73913;8239;;;187;193
2016;Autovetture;76607;18299;59378;83863;212322;160675;78697;536;447
2016;Veicoli industriali;10263;3919;7776;14294;17456;17099;2656;129;62
2016;Motrici;320;40;225;659;108;905;306;0;5
2016;Autobus;147;9;366;932;111;808;251;10;1
2016;Motocicli;39920;22465;23270;75543;1832;;;144;197
2015;Autovetture;77460;19375;66156;92302;224268;183983;22613;316;449
2015;Veicoli industriali;10523;4094;8227;15387;18632;16085;384;118;62
2015;Motrici;320;43;252;680;130;863;126;0;5
2015;Autobus;157;11;430;959;118;839;214;10;1
2015;Motocicli;40238;23407;24185;72718;0;;;131;200
2014;Autovetture;78765;20655;73239;99246;234046;172062;7916;450;
2014;Veicoli industriali;10845;4223;8796;16235;18881;13667;170;62;
2014;Motrici;329;45;273;710;158;738;82;5;
2014;Autobus;185;17;524;959;122;817;54;1;
2014;Motocicli;40421;24218;24941;68015;0;;;;213
2013;Autovetture;79521;22609;82652;107618;247485;149360;11604;;452
2013;Veicoli industriali;11079;4436;9396;17336;20370;10939;436;;62
2013;Motrici;342;58;294;722;188;633;22;;5
2013;Autobus;202;18;633;984;129;793;6;;1
2013;Motocicli;40690;25323;26116;64384;0;;;;223
2012;Autovetture;81084;25269;91749;117272;261126;138913;405;41;235
2012;Veicoli industriali;11533;4764;10099;18860;21632;8839;0;139;52
2012;Motrici;361;67;332;736;105;640;0;;8
2012;Autobus;244;53;690;987;135;756;0;;1
2012;Motocicli;47187;21454;27597;58666;;;;;238
2011;Autovetture;82529;28067;103387;128149;277675;104173;173;43;254
2011;Veicoli industriali;12055;5117;11128;20427;22191;5402;223;136;53
2011;Motrici;389;82;388;777;101;531;2;;8
2011;Autobus;357;81;773;1026;140;252;444;;1
2011;Motocicli;48319;22678;28651;52964;;;;;246
2010;Autovetture;83593;31617;116427;138363;308481;37418;;31;524
2010;Veicoli industriali;12627;5610;12453;21800;21881;1987;;481;64
2010;Motrici;418;95;456;696;564;52;;;9
2010;Autobus;421;81;889;1711;0;34;;;1
2010;Motocicli;49248;23898;30036;45627;;;;;207
2009;Autovetture;86185;37299;135834;150576;291036;14977;;12;512
2009;Veicoli industriali;13383;6195;14644;23859;18018;1178;;276;60
2009;Motrici;437;105;505;671;521;48;;;9
2009;Autobus;511;78;968;1501;0;28;;;1
2009;Motocicli;50810;25470;31073;37953;;;;;212
2008;Autovetture;90066;45979;160933;162922;263553;0;;12;467
2008;Veicoli industriali;14179;6879;16629;25391;13996;666;;262;58
2008;Motrici;462;125;517;642;408;42;;;9
2008;Autobus;616;74;1031;1284;0;10;;;1
2008;Motocicli;53401;27887;31547;27652;;;;;212
2007;Autovetture;95734;56369;182124;178629;213722;;;10;308
2007;Veicoli industriali;15146;7963;18296;26869;8361;203;;156;58
2007;Motrici;499;118;582;650;188;39;;;
2007;Autobus;682;70;985;1032;0;6;;;
2007;Motocicli;56231;30022;31624;17837;;;;;
